City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Soyo,AO,-6.1349,12.3689,77.25,91,59,1.74,broken clouds
231,Codrington,AU,-38.2667,141.9667,66.97,56,100,12.62,overcast clouds
232,Misratah,LY,32.3754,15.0925,63.63,80,4,28.83,clear sky
233,Tonantins,BR,-2.8731,-67.8022,72.9,99,98,1.3,overcast clouds
234,Mackay,AU,-21.15,149.2,79.68,76,38,17.98,scattered clouds
235,Porto Santo,PT,33.072,-16.3415,62.98,77,40,10.36,scattered clouds
236,Vostok,RU,46.4856,135.8833,41.47,58,100,4.05,overcast clouds
237,Granada,ES,37.25,-3.25,54.3,76,0,7.18,clear sky
238,Chokurdakh,RU,70.6333,147.9167,30.07,89,41,10.45,scattered clouds
239,Padang,ID,-0.9492,100.3543,79.84,83,100,2.37,moderate rain
240,Kinston,US,35.2627,-77.5816,75.31,56,40,9.22,scattered clouds
241,Zhigansk,RU,66.7697,123.3711,18.93,82,100,22.08,overcast clouds
242,Sabang,ID,5.8933,95.3214,83.73,74,100,17.92,overcast clouds
243,Nanortalik,GL,60.1432,-45.2371,37.09,84,100,4.59,overcast clouds
244,Karasuk,RU,53.7377,78.0403,47.71,60,79,14.94,broken clouds
245,Visnes,NO,59.3556,5.2242,42.22,87,20,1.14,few clouds
246,Olafsvik,IS,64.8945,-23.7142,33.1,65,8,19.01,clear sky
247,Upernavik,GL,72.7868,-56.1549,-1.7,89,6,3.65,clear sky
248,Cayenne,GF,4.9333,-52.3333,82.09,6,75,7.0,broken clouds
249,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,14.97,few clouds
250,Ardakan,IR,32.31,54.0175,64.42,58,4,7.49,clear sky
251,Atherton,GB,53.5237,-2.4935,53.29,91,100,1.28,overcast clouds
252,Ishigaki,JP,24.3448,124.1572,68.77,83,100,24.99,overcast clouds
253,Chifeng,CN,42.2683,118.9636,54.43,21,23,5.66,few clouds
254,Pisco,PE,-13.7,-76.2167,64.45,82,0,4.61,clear sky
255,Norman Wells,CA,65.282,-126.8329,51.55,58,98,13.98,overcast clouds
256,Sirvintos,LT,55.05,24.95,38.62,94,23,3.85,few clouds
257,Micheweni,TZ,-4.9667,39.8333,78.35,83,99,13.53,moderate rain
258,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,0,13.8,clear sky
259,Jashpurnagar,IN,22.9,84.15,75.38,61,3,3.96,clear sky
260,Petauke,ZM,-14.2426,31.3253,59.92,80,0,11.12,clear sky
261,Candelaria,PH,13.9311,121.4233,84.38,63,100,6.24,overcast clouds
262,Resistencia,AR,-27.4606,-58.9839,64.09,100,100,4.61,overcast clouds
263,Araouane,ML,18.9048,-3.5265,78.1,15,0,10.74,clear sky
264,Port Macquarie,AU,-31.4333,152.9167,70.9,57,63,3.47,broken clouds
265,Taksimo,RU,56.3444,114.8794,41.34,54,72,8.19,broken clouds
266,Trinidad,BO,-14.8333,-64.9,74.91,72,100,3.47,overcast clouds
267,Bahia Blanca,AR,-38.7196,-62.2724,50.38,73,100,8.57,overcast clouds
268,Dordrecht,NL,51.81,4.6736,49.98,78,54,3.0,broken clouds
269,Kem,RU,64.9555,34.5793,32.14,95,100,7.09,overcast clouds
270,Birobidzhan,RU,48.8,132.95,44.89,60,100,3.74,overcast clouds
271,Marsh Harbour,BS,26.5412,-77.0636,74.46,78,30,17.83,scattered clouds
272,Santa,PH,17.486,120.4348,90.01,72,33,3.11,scattered clouds
273,Roanoke Rapids,US,36.4615,-77.6542,66.78,97,100,4.0,overcast clouds
274,Bang Saphan,TH,11.2126,99.5117,78.55,86,100,4.0,overcast clouds
275,Puerto Madryn,AR,-42.7692,-65.0385,50.56,65,100,11.77,overcast clouds
276,Domvraina,GR,38.25,22.9833,58.91,71,100,5.7,overcast clouds
277,Nhamunda,BR,-2.1861,-56.7131,74.7,96,85,1.36,overcast clouds
278,Requena,ES,39.4883,-1.1004,54.88,78,40,1.86,scattered clouds
279,Muros,ES,42.7762,-9.0603,51.22,86,100,4.65,overcast clouds
280,Gravdal,NO,68.1214,13.5031,35.98,71,100,17.38,overcast clouds
281,De Aar,ZA,-30.6497,24.0123,56.3,40,0,2.35,clear sky
282,Boguchany,RU,58.3814,97.4531,34.93,74,100,9.51,overcast clouds
283,Mount Gambier,AU,-37.8333,140.7667,62.51,82,100,13.8,overcast clouds
284,Motegi,JP,36.5167,140.1833,60.37,49,10,2.08,clear sky
285,Hami,CN,42.8,93.45,66.78,10,18,6.62,few clouds
286,Oyem,GA,1.5995,11.5793,67.66,99,100,2.86,overcast clouds
287,Aitape,PG,-3.1374,142.3475,82.36,81,93,5.68,overcast clouds
288,Ola,RU,59.5833,151.2833,44.15,85,48,7.16,scattered clouds
289,Narasannapeta,IN,18.4167,84.05,82.85,81,21,12.53,few clouds
290,Iqaluit,CA,63.7506,-68.5145,25.7,86,40,5.99,scattered clouds
291,Sarangani,PH,5.4033,125.4636,82.35,72,100,1.66,overcast clouds
292,Concepcion Del Oro,MX,24.6333,-101.4167,77.99,7,98,14.23,overcast clouds
293,Kavaratti,IN,10.5669,72.642,84.16,71,100,9.15,overcast clouds
294,La Ronge,CA,55.1001,-105.2842,35.85,55,20,10.36,few clouds
295,Ylojarvi,FI,61.5563,23.5961,36.95,74,0,5.75,clear sky
296,Airai,TL,-8.9266,125.4092,72.23,49,68,5.37,broken clouds
297,Newton,US,42.337,-71.2092,57.18,51,0,9.22,clear sky
298,Kirakira,SB,-10.4544,161.9205,82.45,79,100,8.84,heavy intensity rain
299,Itupiranga,BR,-5.1347,-49.3267,77.32,92,58,1.34,broken clouds
300,Omsukchan,RU,62.5333,155.8,29.01,89,52,7.94,broken clouds
301,Port Moresby,PG,-9.4431,147.1797,85.42,66,75,5.75,broken clouds
302,Moranbah,AU,-22.0016,148.0466,77.45,56,89,17.72,overcast clouds
303,Tazovskiy,RU,67.4667,78.7,10.26,97,77,5.39,broken clouds
304,Hauterive,FR,46.0901,3.4459,45.36,94,90,1.72,overcast clouds
305,Sisimiut,GL,66.9395,-53.6735,25.65,74,100,6.22,overcast clouds
306,Ostrovnoy,RU,68.0531,39.5131,14.23,93,50,8.19,scattered clouds
307,Ahipara,NZ,-35.1667,173.1667,68.58,60,100,6.49,overcast clouds
308,Sao Filipe,CV,14.8961,-24.4956,73.04,73,0,7.7,clear sky
309,Rio Grande,BR,-32.035,-52.0986,49.95,74,10,9.4,clear sky
310,Barra Patuca,HN,15.8,-84.2833,79.81,82,100,10.67,overcast clouds
311,Henties Bay,NA,-22.116,14.2845,63.3,66,0,6.53,clear sky
312,Tazmalt,DZ,36.3868,4.3989,58.24,75,4,2.37,clear sky
313,Parkes,AU,-33.1333,148.1833,62.64,56,96,1.03,overcast clouds
314,Lesnyye Polyany,RU,55.9667,37.8667,45.75,91,100,4.21,overcast clouds
315,Mareeba,AU,-17.0,145.4333,80.44,68,16,6.55,few clouds
316,Shimoda,JP,34.6667,138.95,58.35,73,100,8.41,overcast clouds
317,Xining,CN,36.6167,101.7667,39.51,51,0,3.2,clear sky
318,Angoche,MZ,-16.2325,39.9086,76.14,71,82,13.51,broken clouds
319,Caucaia,BR,-3.7361,-38.6531,78.75,82,75,6.91,broken clouds
320,Nuristan,AF,35.3,70.8333,40.53,58,50,6.69,scattered clouds
321,Tura,IN,25.5198,90.2201,72.46,90,47,5.14,light rain
322,Cardston,CA,49.2,-113.3019,55.54,44,75,8.84,broken clouds
323,Port Elizabeth,ZA,-33.918,25.5701,54.32,92,0,1.01,clear sky
324,Qasigiannguit,GL,68.8193,-51.1922,17.85,85,11,4.16,few clouds
325,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,92,23,3.02,few clouds
326,Vaasa,FI,63.096,21.6158,41.95,87,0,8.05,light rain
327,Port Hedland,AU,-20.3167,118.5667,80.65,54,97,12.66,overcast clouds
328,Caldwell,US,43.6629,-116.6874,69.15,34,0,11.5,clear sky
329,Hvide Sande,DK,56.0045,8.1294,46.26,78,52,11.77,broken clouds
330,Clyde River,CA,70.4692,-68.5914,8.83,85,100,16.11,light snow
331,Natal,BR,-5.795,-35.2094,79.02,94,75,4.61,broken clouds
332,Hervey Bay,AU,-25.2986,152.8535,70.02,90,100,5.01,light rain
333,Alta Floresta,BR,-9.8756,-56.0861,75.18,81,99,1.74,overcast clouds
334,Menomonie,US,44.8755,-91.9193,46.42,97,100,13.51,overcast clouds
335,Khatanga,RU,71.9667,102.5,18.16,86,97,11.65,overcast clouds
336,Aklavik,CA,68.2191,-135.0107,38.14,88,100,14.14,overcast clouds
337,Shirokiy,RU,49.758,129.523,51.28,39,100,7.78,overcast clouds
338,Pangnirtung,CA,66.1451,-65.7125,26.76,97,100,4.97,light snow
339,Rabo De Peixe,PT,37.8,-25.5833,65.28,74,75,4.61,broken clouds
340,Hare Bay,CA,48.8499,-54.0148,33.19,98,100,2.37,overcast clouds
341,Mount Isa,AU,-20.7333,139.5,82.17,47,0,10.36,clear sky
342,Tulum,MX,20.2167,-87.4667,78.22,79,1,7.58,clear sky
343,Chicama,PE,-7.8447,-79.1469,63.14,84,58,7.11,broken clouds
344,Balakhninskiy,RU,58.0106,114.2769,33.37,66,95,12.46,overcast clouds
