City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
138,Sinnamary,GF,77.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
139,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
141,Kodarma,IN,79.7,clear sky,24.4667,85.6,"Surywanshi House,Jalwabad ( C/o Gurmit Singh )"
143,Mananjary,MG,70.75,few clouds,-21.2167,48.3333,Vahiny Lodge
146,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
149,Sambava,MG,77.2,broken clouds,-14.2667,50.1667,Melrose
150,Saint-Paul,RE,73.74,clear sky,-21.0096,55.2707,Boucan Canot
151,Sibolga,ID,78.71,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
154,Guaymas,MX,82.89,clear sky,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
160,Souillac,MU,73.8,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
162,Mattru,SL,77.79,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
165,Luba,GQ,81.1,light rain,3.4568,8.5547,
167,San Patricio,US,81.32,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
169,Salalah,OM,81.16,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
172,Laguna,US,84.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
173,San Ramon,US,79.02,clear sky,37.7799,-121.978,San Ramon Marriott
174,Sakhon Nakhon,TH,71.55,broken clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
175,Bonthe,SL,80.8,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
178,Marawi,PH,77.63,overcast clouds,7.9986,124.2928,Derogongan Residence
183,Lorengau,PG,83.14,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
