City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Wind Speed
284,Xingcheng,CN,2022-05-01 04:09:54,40.6167,120.7167,64.09,55,11.92
285,Port Moresby,PG,2022-05-01 04:09:55,-9.4431,147.1797,83.55,39,11.68
286,Doha,QA,2022-05-01 04:06:26,25.2867,51.5333,84.51,0,3.44
287,Cap Malheureux,MU,2022-05-01 04:09:55,-19.9842,57.6142,77.47,13,3.0
288,Hovd,MN,2022-05-01 04:09:56,48.0056,91.6419,62.26,99,0.92
289,Comodoro Rivadavia,AR,2022-05-01 04:05:20,-45.8667,-67.5,45.28,5,3.83
290,Husavik,IS,2022-05-01 04:05:30,66.0449,-17.3389,41.41,20,7.92
291,Bayir,TR,2022-05-01 04:09:57,37.2687,28.2167,46.92,0,5.44
292,Nova Odesa,UA,2022-05-01 04:09:57,47.3078,31.7851,48.99,70,4.56
293,Mandalgovi,MN,2022-05-01 04:09:58,45.7625,106.2708,61.48,88,8.37
294,Octeville,FR,2022-05-01 04:09:58,49.6261,-1.6435,45.09,0,5.75
295,Kismayo,SO,2022-05-01 04:09:59,-0.3582,42.5454,82.87,95,11.56
296,Pontal Do Parana,BR,2022-05-01 04:09:59,-25.6533,-48.5128,65.7,100,3.0
297,Consolacion Del Sur,CU,2022-05-01 04:10:00,22.5047,-83.5136,70.3,3,3.94
298,Zemlyansk,RU,2022-05-01 04:10:00,51.9041,38.7334,42.44,2,6.13
299,Mezen,RU,2022-05-01 04:10:01,65.8522,44.24,25.86,100,4.07
300,Mabini,PH,2022-05-01 04:10:01,15.6,120.9833,99.05,95,10.0
301,Saskylakh,RU,2022-05-01 04:05:31,71.9167,114.0833,13.69,100,16.53
302,Umm Kaddadah,SD,2022-05-01 04:10:02,13.6017,26.6876,78.85,44,6.8
303,Birjand,IR,2022-05-01 04:10:03,32.8663,59.2211,73.87,74,0.0
304,Beaumont,US,2022-05-01 04:10:03,30.0861,-94.1019,75.24,40,5.75
305,San Luis,AR,2022-05-01 04:10:04,-33.295,-66.3356,49.23,0,5.14
306,Rockport,US,2022-05-01 04:10:04,28.0206,-97.0544,78.85,75,11.5
